Name ( ENG );Latin;Non-Latin;Author;Description;Cover (image file)
Christmas Comes Not For Us;Boku to Kimi Dake ni Seiya wa Konai;僕と君だけに聖夜は来ない;Kazuki Fujimiya (藤宮 カズキ);"The story takes place on December 24th, Christmas Eve. High school student Riichi finally confesses his long-held feelings to his crush, Natsumi, and she reciprocates. However, before he can even process his happiness, Natsumi suddenly dies right in front of him.

The next thing Riichi knows, he has been sent back in time by two days. He soon discovers a horrifying rule: the words ""I love you"" have become a trigger for Natsumi's death and a time loop.

Trapped in an endless Christmas Eve, Riichi is forced to watch Natsumi confess her love and die, over and over again. The novel follows his desperate struggle to break free from this ""unending cycle of loss and grief"" and find a way to save the girl he loves.";https://drive.google.com/file/d/1XELMEtVtxJ03aOUHTtcp4fIThp7D_Ug6/view?usp=drive_link
Days with My Stepsister;Gimai Seikatsu;義妹生活;Ghost Mikawa (三河ごーすと / 三河Ghost);"The story follows high school student Yūta Asamura, whose father remarries, suddenly giving him a new stepsister. She is Saki Ayase, the most beautiful and popular girl in his grade.

Both Yūta and Saki carry emotional scars from their parents' difficult divorces. To avoid causing discord in their newly formed family, they agree to maintain a respectful and reasonable distance from each other.

However, as they begin living together, they discover they have more in common than they expected. Slowly and cautiously, they start to grow closer. The series is a grounded, realistic romantic comedy that explores the evolving bond between two step-siblings, focusing on their delicate psychological changes and the subtle, awkward atmosphere of their shared daily life.";https://drive.google.com/file/d/1_3Qfq39s14WJg5zrBBE5KnYKi6BGbS9B/view?usp=drive_link
Even If These Tears Disappear Tonight;Konya, Sekai Kara Kono Namida ga Kiete mo;今夜、世界からこの涙が消えても;Misaki Ichijo (一条岬);"This novel is the sequel to the author's previous hit, Even If This Love Disappears Tonight. The story follows Tooru Naruse, a college student whose life is mundane until he meets his upperclassman, Izumi Wataya. He falls in love with her at first sight and confesses, but she agrees to date him on one condition: he must promise never to fall in love with her.
Thus, their pretend relationship begins. However, Tooru soon notices that Izumi cannot forget about a past love, and her attempts to move on are short-lived. Hoping to learn who that person was and the reason behind her fleeting, wistful expressions, Tooru reaches out to Izumi's best friend from high school, Maori Hino. This investigation leads him to uncover a painful secret connected to Maori's memory-loss condition. The story is described as another heart-wrenching tale of first love.";https://drive.google.com/file/d/1NHEKN9zN92s18eZfDw2SGodUeG8VFDxB/view?usp=drive_link
Even If This Love Disappears Tonight;Konya, Sekai Kara Kono Koi ga Kiete mo;今夜、世界からこの恋が消えても;Misaki Ichijo (一条岬);"The story follows high school student Toru Kamiya, who is forced to make a fake confession to his classmate Maho Orihara to stop bullying. Unexpectedly, Maho accepts his confession—but she lays down three conditions: they only talk after school, keep their conversations brief, and neither of them is allowed to truly fall for the other.

So begins their ""relationship."" As they spend time together, Toru gradually develops genuine feelings for Maho. However, he soon uncovers a cruel truth: Maho suffers from anterograde amnesia—she forgets everything that happened the previous day when she wakes up.

Determined to protect their fragile bond, Toru and Maho repeat a daily routine of falling in love anew, knowing that each day's memories will be erased by morning. This is a poignant, bittersweet youth romance about love that can only exist for one day at a time. The novel is a single-volume winner of the 26th Dengeki Novel Awards (Media Works Bunko Prize).";https://drive.google.com/file/d/1czHP1TIN0zkpuH7DcoY731Su3z8tn2eH/view?usp=drive_link
Fox Tales;Kitsune no Hanashi;きつねのはなし;Tomihiko Morimi (森見登美彦);"Fox Tales is a collection of four interconnected, spooky short stories set in modern-day Kyoto. All the tales are tied to a mysterious curio shop in the old capital. The stories involve strange occurrences like a wriggling basket, a masked man lurking in the shadows, and things that are offered, lost, and forgotten.

The collection is described as an eerie and unnerving yokai (supernatural creature) book, featuring a mysterious fox/dragon creature that acts as a harbinger of ill fortune. The author, known for works like The Tatami Galaxy and The Night is Short, Walk on Girl, offers a stylish and beguiling glimpse into the mysterious darkness of the old capital.

The English translation by Winifred Bird was published by Yen On on November 22, 2022.";https://drive.google.com/file/d/1SlPd0-xVBOY-C6X_9Hl5JSWuOKGCP7O6/view?usp=drive_link
Grimgar of Fantasy and Ash;Hai to Gensō no Gurimugaru;灰と幻想のグリムガル;Ao Jūmonji (十文字青);"The story follows Haruhiro, a boy who wakes up in darkness with no memories of his past, only knowing his own name. He finds himself alongside a group of other amnesiac youths in a fantasy world called Grimgar. To survive, they are forced to join the Volunteer Soldiers and take up arms as mercenaries.

However, Grimgar is far from a kind or forgiving world. Unlike typical isekai stories where the protagonist gains overpowered abilities, Haruhiro and his companions struggle desperately against even the weakest of monsters—goblins. Every battle is a life-or-death fight, and loss and grief are constant companions.

The series is a dark, realistic fantasy that focuses on the raw emotions, hardships, and bonds formed by ordinary people trying to survive in a harsh world. The light novel series is published by Overlap Bunko and began serialization on June 25, 2013.";https://drive.google.com/file/d/10mmOuzY0tJY-6YBTQAhfEaNGbjOYXj8W/view?usp=drive_link
Haibara's Teenage New Game+;Haibara-kun no Tsuyokute Seishun Nyū Gēmu;灰原くんの強くて青春ニューゲーム;Kazuki Amamiya (雨宮和希);"The story follows Natsuki Haibara, a socially anxious fourth-year university student who is about to graduate. He is suddenly and inexplicably transported seven years into the past, to the time right before he started his first year of high school. Armed with the memories and skills from his university life, Haibara is determined to relive his high school days and fix all his past regrets.

He aims to avoid his previous mistakes, climb to the top of the school's social hierarchy, and win over the girl of his dreams. The series chronicles his second shot at youth as he navigates friendships, romance, and the challenges of high school, using his future knowledge to create the perfect adolescent experience.

The light novel series is published under Hobby Japan's HJ Bunko imprint, began in December 2021, won the grand prize in the HJ Novel Award in 2020, and has an anime adaptation.";https://drive.google.com/file/d/1IvRIB_spyzJ4gD-Naop_ImzHxHVzh63u/view?usp=drive_link
HELLO WORLD: The Novel;N/A;N/A;Mado Nozaki (野崎まど);"The story follows Naomi, a shy teenage bookworm, who is one day visited by his future self. His future self gives him a mission: to prevent his classmate and soon-to-be girlfriend, Ruri, from dying in an accident shortly after they start dating.

As Naomi works to change the future, he discovers that the world he lives in is far more complex and not at all what it seems. This science fiction romance features a story full of twists and turns, where the very structure of reality is turned on its head. This is the novelization of the critically acclaimed 2019 anime film of the same name.";https://drive.google.com/file/d/1LyH1GeMIt1ZsnyS2W3jh0TRczKwJINnx/view?usp=drive_link
How a Realist Hero Rebuilt the Kingdom;Genjitsu Shugi Yūsha no Ōkoku Saikenki;現実主義勇者の王国再建記;Dojyomaru (どぜう丸);"Kazuya Souma is a humanities student who is suddenly summoned to another world as a hero. However, instead of being sent on a grand adventure, he is immediately made king by the abdicating ruler of the Elfrieden Kingdom and betrothed to the king's daughter, Liscia.

Rather than relying on swords and magic, Souma uses his knowledge of realism and Machiavellianism to tackle the kingdom's struggling economy and weak military. He gathers talented and gifted citizens to help him reform the nation from the ground up. The series is a unique ""administrative fantasy"" that focuses on politics, economics, and nation-building.

The light novel series is written by Dojyomaru, illustrated by Fuyuyuki, and published by Overlap Bunko. It began as a web novel in 2014, with the first light novel volume released in May 2016. It has also received a manga adaptation and an anime television series.";https://drive.google.com/file/d/14EeQNQofTkXq0wmo7UCdllFRYFeW-7c8/view?usp=drive_link
Hyouka;Hyōka;氷菓;Honobu Yonezawa (米澤穂信);"The story follows Houtarou Oreki, a high school student who lives by the motto: ""If I don't have to do it, I won't. If I have to do it, make it quick."" At the command of his older sister, he joins his school's nearly-defunct Classic Literature Club to prevent it from being closed.

There, he meets the ever-curious Eru Chitanda, who is trying to uncover the truth behind a mystery that affected her uncle thirty years ago. Along with two other members, they begin investigating a series of small, everyday mysteries that surround them. The novel is a ""youth mystery"" that focuses on the subtleties of ordinary life, with the title Hyouka holding the key to a secret buried in the past.

The novel is the first volume in the Classic Literature Club series and was published on October 31, 2001.";https://drive.google.com/file/d/1w8dFslUd2sUzO8oZYcSz3v_FyTliRCN_/view?usp=drive_link
I am Blue, in Pain, and Fragile;Aokute itakute moroi;青くて痛くて脆い;Yoru Sumino (住野よる);"The story is a heart-wrenching drama about two university students and their growing disillusionment. In their first year of university, a young man who tries not to get too close to anyone meets Toshino Akikō. Drawn to each other's passion and ideals, the two of them establish a secret society called ""Moai"" to pursue their dreams.

However, as time passes, the demands of a world that isn't kind to dreamers threatens to force them apart. Three years later, the protagonist is haunted by a lie she told that sticks in his heart like a thorn. He then decides to change her lie into the truth, which becomes his act of rebellion against the world. The novel explores a tender, tragic tale about growing past pain and the cruelty of youth.

This acclaimed work by Yoru Sumino, the author of I Want to Eat Your Pancreas, was adapted into a live-action film titled Blue, Painful, and Fragile now available on Netflix.";https://drive.google.com/file/d/1R2bv-3eO2eQIbShRvEeqMqy6cYYogeZj/view?usp=drive_link
I Don't Have Many Friends;Boku wa Tomodachi ga Sukunai;僕は友達が少ない;Yomi Hirasaka (平坂読);"The story follows Kodaka Hasegawa, a transfer student to St. Chronica's Academy. Because of his brown-blond hair and fierce-looking eyes (inherited from his deceased English mother), his classmates mistake him for a delinquent, making it nearly impossible for him to make friends.

One day, he stumbles upon his equally solitary classmate Yozora Mikazuki talking to her imaginary friend. Realizing they both lack social lives and skills, they decide the best way to improve their situation is to form the Neighbors Club (隣人部, Rinjin-bu)—an after-school club for people with no friends.

Other students with various backgrounds soon join the club:

Sena Kashiwazaki: an attractive but arrogant idol who has no female friends

Yukimura Kusunoki: an effeminate underclassman who idolizes Kodaka

Rika Shiguma: a genius scientist with a perverted mind

Kobato Hasegawa: Kodaka's little sister who cosplays as a vampire

Maria Takayama: a ten-year-old foul-mouthed nun who serves as the club's advisor

The series follows their hilarious and often awkward attempts to learn how to build friendships through cooking together, playing games, and other group activities. The light novel was published by Media Factory under their MF Bunko J imprint, with 11 volumes released from August 2009 to August 2015.";https://drive.google.com/file/d/1eg9Ce66utQq3frwJei0VCqQrrpKYPxZW/view?usp=drive_link
"I Had That Same Dream Again
";Mata, Onaji Yume o Mite Ita;また、同じ夢を見ていた;Yoru Sumino (住野夜);"The story follows Nanoka Koyanagi, a young grade schooler who is given a school assignment to define what ""happiness"" means to her. In her search for an answer, she meets three very different strangers:

A woman ostracized by society, whom Nanoka calls ""Skank-san""

An unhappy teenage girl who engages in self-harm, named Minami

An old woman looking to live out her twilight years in peace, known to Nanoka as ""Granny""

As Nanoka gets to know these three strangers, she uses her experiences with them to gradually understand what true happiness means. It is a layered coming-of-age story from the author of I Want to Eat Your Pancreas. The novel was first published in Japan by Futabasha on February 19, 2016.";https://drive.google.com/file/d/1Qa5w20PLgz-v1eAWc7uSdagCwBUlAWqu/view?usp=drive_link
"I Hold Your Voice Alone, Under The Starry Sky
";Hoshizora no Shita, Kimi no Koe dake wo Dakishimeru;星空の下、君の声だけを抱きしめる;Takahashi Bisui (高橋びすい);"The story follows Shuu, a member of his school's literary club who struggles to write. One day, he receives a mysterious message on his phone from a girl named Eina. From this impulsive contact, they begin exchanging messages, bonding over their shared love of novels and growing closer. However, when they try to meet in person, they discover a shocking truth: Eina is not living in the present, but five years in the past. The novel explores how their love can develop despite being separated by five years of nights.

This single-volume light novel was published in 2018, with illustrations by Miwano Rag.";https://drive.google.com/file/d/1YGE1ANWwai1poxZyqE3epCCNM07okpZS/view?usp=drive_link
I Want to Eat Your Pancreas;Kimi no Suizō o Tabetai;君の膵臓をたべたい;Yoru Sumino (住野夜 / 住野よる);"The story centers on an unnamed, introverted high school boy who prefers to keep to himself and spend his time reading. One day, while at the hospital, he stumbles upon a handwritten journal titled ""Living with Dying"" (共病文库).

The diary belongs to his classmate, Sakura Yamauchi, a cheerful and popular girl who is secretly suffering from a terminal pancreatic illness. He becomes the only person outside her family to know her secret.

What follows is an unexpected and profound friendship. As they spend time together, the unnamed boy helps Sakura fulfill items on her bucket list. Their relationship deepens, exploring themes of mortality, human connection, and the fragility of life. The novel is a poignant, coming-of-age tearjerker that questions what it truly means to live.";https://drive.google.com/file/d/1eMTcj7LBZtdb63eu6K77IrQf07zBy5Df/view?usp=drive_link
I Will Forget This Feeling Someday;Kono Kimochi mo Itsuka Wasureru;この気持ちもいつか忘れる;Yoru Sumino (住野夜);The story follows Suzuki Kaya, a boy living an ordinary, boring life. That all changes when a dazzling light appears before him at a defunct bus stop, showing him a vision of a girl from another world. From that moment, Kaya's life changes as he and the mysterious girl strive to find ways to meet one another from across parallel dimensions. This is a passionate love story from the bestselling author of I Want to Eat Your Pancreas.;https://drive.google.com/file/d/1SVAjd3h1_L5h16_XdIyWFhiBdVX2ZDG9/view?usp=drive_link
In the Land of Leadale;Riadeiru no Daichi nite;リアデイルの大地にて;Ceez;"The story follows Keina Kagami, a young girl who was rendered permanently paralyzed and placed on life support after a tragic accident. The only freedom she had left was in the VRMMORPG world of Leadale.

One day, a power outage causes her life support to fail, and she dies. However, she unexpectedly awakens to find herself reincarnated into the game world of Leadale, inhabiting the body of her powerful high-elf avatar, Cayna.

To her surprise, she discovers that 200 years have passed since she last played the game. Now, she must navigate a world that has evolved in her absence, encountering her ""in-game children,"" using her formidable skills, and uncovering the mysteries of how Leadale has transformed over the centuries.";https://drive.google.com/file/d/1-EAKcgKHtNe4gqkfFTnWGDETqnP76zBT/view?usp=drive_link
KonoSuba: God's Blessing on This Wonderful World!;Kono Subarashii Sekai ni Shukufuku o!;この素晴らしい世界に祝福を！;Natsume Akatsuki (暁 なつめ);"The story follows Kazuma Satou, a reclusive gamer and shut-in whose life ends abruptly and unceremoniously. In the afterlife, he is greeted by a beautiful but arrogant goddess named Aqua, who offers him a chance to be reborn in a fantasy world. He is allowed to take one thing with him, and out of spite or frustration, he chooses to bring Aqua herself.

This decision proves to be a catastrophic mistake. In the town of Axel, Kazuma forms a dysfunctional adventuring party with two other hopeless individuals: Megumin, an archmage obsessed with casting explosion magic, which renders her completely exhausted after a single use; and Darkness, a crusader who is a masochist and has abysmal aim with a sword.

Instead of the stable, peaceful life he envisioned, Kazuma is constantly dragged into chaos, mounting debt, and ridiculous quests, all while dealing with the antics of his utterly incompetent party members. The series is a comedic and satirical take on the isekai (other world) genre, focusing on the absurd, everyday struggles of this dysfunctional group.";https://drive.google.com/file/d/1Yojb1mYeugHdU2aPSgx4MJnMkPvGiHdC/view?usp=drive_link
Kuma Kuma Kuma Bear;Kuma Kuma Kuma Beā;くまクマ熊ベアー;Kumanano (くまなの);"The series follows Yuna, a fifteen-year-old girl who is a reclusive gamer and a self-made millionaire from stock trading, choosing to spend most of her time in her apartment playing the VRMMO game World Fantasy Online.

One day, after a mysterious game update, Yuna receives a rare and powerful ""Kuma Set"" (bear outfit). The outfit comes with incredible abilities, including summoning giant bears for combat and utility. When she logs into the game next, Yuna finds herself transported into the game's world, unable to log out.

Now stuck in a fantasy world that resembles the game she loves, Yuna must navigate this new reality, complete guild quests, battle monsters, and build relationships with the townspeople—all while wearing her overpowered yet adorable bear-themed gear. The series blends isekai fantasy, comedy, and slice-of-life elements as Yuna uses her bear powers to help others and live a comfortable life.";https://drive.google.com/file/d/1uzAJZ8qCc6jo70p9UmfYGEX7aivpwj2i/view?usp=drive_link
My Teen Romantic Comedy SNAFU (also known as My Youth Romantic Comedy Is Wrong, As I Expected);Yahari Ore no Seishun Love Come wa Machigatteiru.;やはり俺の青春ラブコメはまちがっている。;Wataru Watari (渡航);"The story follows Hachiman Hikigaya, a cynical and pessimistic high school student who believes that youth is a lie and that popular people are deluding themselves. He has no friends and no girlfriend, and he prefers it that way.

After writing an essay about how pointless youth is, he is forced by his teacher to join the school's ""Service Club,"" a club dedicated to helping students with their problems. There, he meets the club's only other members: the beautiful, intelligent, and equally sharp-tongued Yukino Yukinoshita and the cheerful but somewhat airheaded Yui Yuigahama.

Together, they take on various requests from their classmates, offering advice and solving problems. However, Hachiman's unique and often self-sacrificing methods clash with Yukino's ideals, leading to a series of dramatic and comedic situations. The series explores the characters' personal growth and their awkward, complicated relationships as they navigate the ""wrong""青春 (youth) they find themselves in.

The light novel is published by Shogakukan under their Gagaga Bunko imprint. It was serialized from March 18, 2011, to November 19, 2019, and has inspired multiple manga adaptations, anime seasons, and other media.";https://drive.google.com/file/d/146u6c5rU3J5Sm_0gJt08XJCvgu9TwNoz/view?usp=drive_link
No Game No Life;Nōgēmu Nōraifu;ノーゲーム・ノーライフ;Yū Kamiya (榎宮祐);"The story follows Sora and Shiro, a pair of genius step-siblings who are legendary gamers known by the online handle ""Blank"" (『 』). They are notorious shut-ins who view the real world as a ""crappy game"".

One day, they receive a challenge from a boy claiming to be ""God"" and are suddenly summoned to a fantasy world called Disboard. In this world, all war and violence are forbidden by the Ten Pledges, and everything—including national borders—is decided by games.

Sora and Shiro are humanity's (the ""Immanity"" race) last hope, as they are the weakest race in Disboard, pushed to the brink of extinction with only one city left. Together, they aim to conquer the world by winning against all other races in high-stakes games, determined to prove that in a world of games, ""Blank"" never loses.";https://drive.google.com/file/d/11gfXjxEv__Rvwu0C_He2U-_G9FaEeXxh/view?usp=drive_link
Our Dating Story: The Experienced You and The Inexperienced Me;Keikenzumi na Kimi to, Keiken Zero na Ore ga, Otsukiai Suru Hanashi.;経験済みなキミと、経験ゼロなオレが、お付き合いする話。;Makiko Nagaoka (長岡マキ子);"The story follows Ryūto Kashima, a gloomy and reclusive high school boy who spends his days quietly admiring the beautiful and popular Runa Shirakawa from afar. After losing a bet with his friends, Ryūto is forced to confess his feelings to Runa. To his utter astonishment, she accepts—simply because she's ""available"" at the moment.

Their relationship, however, is far from typical. Runa is experienced in romance, while Ryūto is a complete novice. They are an odd couple, different in nearly every way—their friends, hobbies, and love lives. Adding to the complications, Ryūto's middle school crush, Maria, later transfers to his class, stirring up trouble.

This is a coming-of-age love story about two people who, despite their differences, grow a little bit closer with every passing day. Their dating story is full of ""firsts"" for them both, exploring themes of insecurity, misunderstandings, and the gradual building of a genuine connection.

The series was published as 10 volumes from September 2020 to March 2025 and received an anime adaptation that aired in October 2023.";https://drive.google.com/file/d/1dN58hUwCNeis6Cblea9zCAjrFBAPmD9-/view?usp=drive_link
